5 1.38921 1.38921 2 1 0
5.00966 1.38663 1.38663 1 1 0
5.01933 1.38406 1.38406 1 1 0
5.02899 1.38149 1.38149 1 1 0
5.03866 1.37894 1.37894 1 1 0
5.04833 1.3764 1.3764 1 1 0
5.058 1.37386 1.37386 1 1 0
5.06768 1.37134 1.37134 1 1 0
5.07736 1.36882 1.36882 1 1 0
5.08704 1.36631 1.36631 1 1 0
5.09672 1.36381 1.36381 1 1 0
5.1064 1.36131 1.36131 1 1 0
5.11609 1.35883 1.35883 1 1 0
5.12578 1.35635 1.35635 1 1 0
5.13547 1.35389 1.35389 1 1 0
5.14516 1.35143 1.35143 1 1 0
5.15486 1.34898 1.34898 1 1 0
5.16456 1.34653 1.34653 1 1 0
5.17425 1.3441 1.3441 1 1 0
5.18396 1.34167 1.34167 1 1 0
5.19366 1.33925 1.33925 1 1 0
5.20336 1.33684 1.33684 1 1 0
5.21307 1.33444 1.33444 1 1 0
5.22278 1.33205 1.33205 1 1 0
5.23249 1.32966 1.32966 1 1 0
5.24221 1.32728 1.32728 1 1 0
5.25192 1.32491 1.32491 1 1 0
5.26164 1.32255 1.32255 1 1 0
5.27136 1.3202 1.3202 1 1 0
5.28108 1.31785 1.31785 1 1 0
5.2908 1.31551 1.31551 1 1 0
5.30052 1.31318 1.31318 1 1 0
5.31025 1.31086 1.31086 1 1 0
5.31998 1.30854 1.30854 1 1 0
5.32971 1.30623 1.30623 1 1 0
5.33944 1.30393 1.30393 1 1 0
5.34917 1.30164 1.30164 1 1 0
5.35891 1.29935 1.29935 1 1 0
5.36865 1.29707 1.29707 1 1 0
5.37838 1.2948 1.2948 1 1 0
5.38813 1.29254 1.29254 1 1 0
5.39787 1.29028 1.29028 1 1 0
5.40761 1.28804 1.28804 1 1 0
5.41736 1.2858 1.2858 1 1 0
5.4271 1.28356 1.28356 1 1 0
5.43685 1.28133 1.28133 1 1 0
5.4466 1.27911 1.27911 1 1 0
5.45636 1.2769 1.2769 1 1 0
5.46611 1.2747 1.2747 1 1 0
5.47587 1.2725 1.2725 1 1 0
5.48562 1.27031 1.27031 1 1 0
5.49538 1.26812 1.26812 1 1 0
5.50514 1.26595 1.26595 1 1 0
5.5149 1.26378 1.26378 1 1 0
5.52467 1.26161 1.26161 1 1 0
5.53443 1.25946 1.25946 1 1 0
5.5442 1.25731 1.25731 1 1 0
5.55396 1.25517 1.25517 1 1 0
5.56373 1.25303 1.25303 1 1 0
5.5735 1.2509 1.2509 1 1 0
5.58328 1.24878 1.24878 1 1 0
5.59305 1.24666 1.24666 1 1 0
5.60283 1.24455 1.24455 1 1 0
5.6126 1.24245 1.24245 1 1 0
5.62238 1.24036 1.24036 1 1 0
5.63216 1.23827 1.23827 1 1 0
5.64194 1.23619 1.23619 1 1 0
5.65172 1.23411 1.23411 1 1 0
5.66151 1.23204 1.23204 1 1 0
5.67129 1.22998 1.22998 1 1 0
5.68108 1.22792 1.22792 1 1 0
5.69087 1.22587 1.22587 1 1 0
5.70065 1.22383 1.22383 1 1 0
5.71044 1.22179 1.22179 1 1 0
5.72024 1.21976 1.21976 1 1 0
5.73003 1.21774 1.21774 1 1 0
5.73982 1.21572 1.21572 1 1 0
5.74962 1.21371 1.21371 1 1 0
5.75942 1.2117 1.2117 1 1 0
5.76921 1.2097 1.2097 1 1 0
5.77901 1.20771 1.20771 1 1 0
5.78881 1.20572 1.20572 1 1 0
5.79862 1.20374 1.20374 1 1 0
5.80842 1.20176 1.20176 1 1 0
5.81822 1.1998 1.1998 1 1 0
5.82803 1.19783 1.19783 1 1 0
5.83783 1.19588 1.19588 1 1 0
5.84764 1.19392 1.19392 1 1 0
5.85745 1.19198 1.19198 1 1 0
5.86726 1.19004 1.19004 1 1 0
5.87707 1.18811 1.18811 1 1 0
5.88689 1.18618 1.18618 1 1 0
5.8967 1.18426 1.18426 1 1 0
5.90651 1.18234 1.18234 1 1 0
5.91633 1.18043 1.18043 1 1 0
5.92615 1.17853 1.17853 1 1 0
5.93597 1.17663 1.17663 1 1 0
5.94578 1.17474 1.17474 1 1 0
5.9556 1.17285 1.17285 1 1 0
5.96543 1.17097 1.17097 1 1 0
5.97525 1.16909 1.16909 1 1 0
5.98507 1.16722 1.16722 1 1 0
5.9949 1.16536 1.16536 1 1 0
6.00472 1.1635 1.1635 1 1 0
6.01455 1.16164 1.16164 1 1 0
6.02438 1.1598 1.1598 1 1 0
6.03421 1.15795 1.15795 1 1 0
6.04404 1.15612 1.15612 1 1 0
6.05387 1.15428 1.15428 1 1 0
6.0637 1.15246 1.15246 1 1 0
6.07353 1.15064 1.15064 1 1 0
6.08336 1.14882 1.14882 1 1 0
6.0932 1.14701 1.14701 1 1 0
6.10304 1.14521 1.14521 1 1 0
6.11287 1.14341 1.14341 1 1 0
6.12271 1.14161 1.14161 1 1 0
6.13255 1.13982 1.13982 1 1 0
6.14239 1.13804 1.13804 1 1 0
6.15223 1.13626 1.13626 1 1 0
6.16207 1.13449 1.13449 1 1 0
6.17191 1.13272 1.13272 1 1 0
6.18176 1.13095 1.13095 1 1 0
6.1916 1.1292 1.1292 1 1 0
6.20144 1.12744 1.12744 1 1 0
6.21129 1.1257 1.1257 1 1 0
6.22114 1.12395 1.12395 1 1 0
6.23099 1.12221 1.12221 1 1 0
6.24083 1.12048 1.12048 1 1 0
6.25068 1.11875 1.11875 1 1 0
6.26053 1.11703 1.11703 1 1 0
6.27039 1.11531 1.11531 1 1 0
6.28024 1.1136 1.1136 1 1 0
6.29009 1.11189 1.11189 1 1 0
