,Raw,Scaled
alpha1,0.0879173,0.0379729
beta1,-0.0223862,-0.145034
n1,-0.000773778,-0.0133683
K1,0.484093,0.522719
alpha3,0.0165877,0.107467
n3,-0.00247711,-0.0427962
K3,-0.513661,-0.554646
alpha2,-0.0391895,-0.253899
n2,0.00585535,0.101161
K2,1.22218,1.3197
beta2,0.117705,0.254193
