,Raw,Scaled
alpha1,0.246215,0.0959921
beta1,-0.0627159,-0.366766
n1,-0.00216721,-0.0337972
K1,1.35442,1.32012
alpha3,0.046448,0.271631
n3,-0.00693834,-0.108202
K3,-1.4402,-1.40373
alpha2,-0.0265775,-0.155427
n2,0.00396993,0.0619104
K2,0.827879,0.806914
beta2,0.079795,0.155549
