,Raw,Scaled
a1,-0.00203504,-0.013936
b1,0.00464982,0.0031842
c1,4.02211,0.0107592
d1,0.0,0.0
a2,0.0187669,0.171354
b2,-0.0429455,-0.294091
c2,13.8171,0.123203
d2,0.0,0.0
a3,0.00540328,0.0493357
b3,-0.0125565,-0.0859872
c3,4.12659,0.0367954
d3,0.0,0.0
