,Raw,Scaled
a1,-0.00372637,-0.103546
b1,-0.794589,-0.0379893
c1,0.00806517,0.121753
d1,1.712,0.0915537
f1,-1.73493,-0.110689
g1,3.74486,0.0294125
h1,796.546,0.0101237
e11,-4.23394e-14,-1.1963e-13
e12,-5.77129e-11,-1.1963e-13
p1,0.0,0.0
e13,-5.03708e-12,-1.1963e-13
q1,-1.27305e-11,-1.1963e-13
r1,-3.78335e-09,-2.39259e-13
a2,0.0409193,0.345591
b2,-0.0796171,-0.50839
c2,18.9929,0.164665
e2,-1.30277e-10,-1.1963e-13
d2,0.0,0.0
