,Raw,Scaled
alpha1,0.22853,0.15967
beta1,-0.0228429,-0.159599
n1,0.00805113,0.150005
K1,0.846767,0.986034
alpha2,0.00384735,0.0268807
n2,-0.00113209,-0.0210926
K2,-0.137057,-0.159599
beta2,-0.0115451,-0.0268878
alpha3,0.00113819,0.00795235
n3,-0.00034984,-0.00651804
K3,-0.0409656,-0.0477031
beta3,-0.00341639,-0.00795655
