,Raw,Scaled
a1,-0.0106273,-0.267796
b1,-2.26581,-0.0982375
c1,0.0229912,0.314749
d1,4.88063,0.236693
f1,-4.94791,-0.286274
g1,10.6773,0.0760488
h1,2271.18,0.0261766
e11,0.0,0.0
e12,1.15426e-10,2.16972e-13
p1,1.31224e-11,2.16972e-13
e13,0.0,0.0
q1,0.0,0.0
r1,0.0,0.0
a2,0.0281349,0.215484
b2,-0.054771,-0.317159
c2,13.0605,0.102684
e2,2.60555e-10,2.16972e-13
d2,0.0,0.0
