,Raw,Scaled
alpha1,0.0203622,0.013944
beta1,-0.00203504,-0.013936
n1,0.000717358,0.0130999
K1,0.0754735,0.0861406
alpha2,-0.0242315,-0.165938
n2,0.00713174,0.130235
K2,0.863944,0.98605
beta2,0.0727313,0.166022
alpha3,-0.00716923,-0.049095
n3,0.00220371,0.0402427
K3,0.258098,0.294576
beta3,0.0215206,0.0491244
