,Raw,Scaled
a1,-0.0220203,-0.257553
b1,-4.60021,-0.105088
c1,0.0477324,0.297752
d1,9.92989,0.241961
f1,-10.4272,-0.2382
g1,22.5412,0.0343288
h1,4698.94,0.0279539
p1,2.84217e-11,2.16422e-13
q1,0.0,0.0
r1,0.0,0.0
a2,0.0280678,0.218857
b2,-0.0545031,-0.318738
c2,13.2494,0.10089
d2,0.0,0.0
