Model,Equation,Numerator Terms,Denominator Terms,Any Negative in Denominator
0,x3_dot = (-3.979*x2**8*x3 + 2.993*x2**8 - 0.003982*x3)/(1.0*x2**8 + 0.0001612*x3 + 0.003944),3,3,False
1,x3_dot = (-3.982*x2**8*x3 + 2.994*x2**8 - 0.003976*x3)/(1.0*x2**8 + 0.0001173*x3 + 0.003957),3,3,False
4,x3_dot = (-3.733*x2**8*x3 + 2.785*x2**8 - 0.003529*x3)/(-0.1531*x2**8*x3 + 1.0*x2**8 - 0.000104*x3 + 0.003588),3,4,True
5,x3_dot = (-0.452*x2**8*x3 + 0.00246*x3)/(-2.236*x2**8*x3 + 1.0*x2**8 - 0.003179*x3 - 0.001243),2,4,True
6,x3_dot = (-1.52*x2**8*x3 + 0.7455*x2**8 + 0.002892*x3)/(-1.477*x2**8*x3 + 1.0*x2**8 - 0.01959*x3 + 0.004908),3,4,True
