Model,Equation,Numerator Terms,Denominator Terms,Any Negative in Denominator
0,x2_dot = (-4.031*x1**8*x2 + 3.019*x1**8 - 0.00395*x2)/(1.0*x1**8 + 0.0001882*x2 + 0.003896),3,3,False
2,x2_dot = (-4.035*x1**8*x2 + 3.021*x1**8 - 0.003951*x2)/(1.0*x1**8 + 0.0001796*x2 + 0.003903),3,3,False
4,x2_dot = (-3.671*x1**8*x2 + 2.733*x1**8 - 0.003471*x2)/(-0.1881*x1**8*x2 + 1.0*x1**8 + 6.825e-5*x2 + 0.00346),3,4,True
5,x2_dot = (-4.088*x1**8*x2 + 3.068*x1**8 - 0.004095*x2)/(0.01309*x1**8*x2 + 1.0*x1**8 + 0.000948*x2 + 0.003724),3,4,False
6,x2_dot = (-0.1877*x1**8 + 0.001385*x2)/(-2.157*x1**8*x2 + 1.0*x1**8 - 0.0008686*x2 - 0.001053),2,4,True
