Model,Equation,Numerator Terms,Denominator Terms,Any Negative in Denominator
1,x1_dot = (-3.138*x1*x3**8 + 0.3187*x3**8 + 0.001227)/(0.1054*x1*x3**8 + 1.0*x3**8 + 0.004132),3,3,False
2,x1_dot = (-3.026*x1*x3**8 + 0.299*x3**8 + 0.001211)/(0.02599*x1*x3**8 + 1.0*x3**8 + 0.004077),3,3,False
4,x1_dot = (-2.987*x1*x3**8 + 0.292*x3**8 + 0.001203)/(1.0*x3**8 + 0.004049),3,2,False
5,x1_dot = (10.78*x1*x3**8 - 2.103*x3**8 - 0.0009464)/(-9.856*x1*x3**8 + 1.0*x3**8 - 0.00296),3,3,True
