Model,Equation,Numerator Terms,Denominator Terms,Any Negative in Denominator
5,x1_dot = (-18.45*x1**9*x2**8 - 0.03101*x1**9 + 10.05*x1**8*x2**8 + 0.03487*x1**8 - 0.04254*x1*x2**8 + 0.005333*x2**8 + 8.429e-6)/(2.459*x1**9*x2**8 + 0.001347*x1**9 + 1.0*x1**8*x2**8 + 0.01197*x1**8 + 0.01837*x1*x2**8 + 0.005259*x2**8 + 4.153e-5),7,7,False
6,x1_dot = (-7.338*x1**9*x2**8 - 0.01336*x1**9 + 3.96*x1**8*x2**8 + 0.01476*x1**8 - 0.01667*x1*x2**8 + 0.001956*x2**8 + 3.366e-6)/(0.1632*x1**9*x2**8 + 0.0005767*x1**9 + 1.0*x1**8*x2**8 + 0.004951*x1**8 + 0.003671*x1*x2**8 + 0.003462*x2**8 + 1.716e-5),7,7,False
9,x1_dot = (-0.1036*x1**9*x2**8 - 0.02651*x1**9 - 0.4448*x1**8*x2**8 + 0.02023*x1**8 - 0.03263*x1*x2**8 + 0.02288*x2**8 - 2.138e-5)/(0.7104*x1**9*x2**8 - 0.1104*x1**9 + 1.0*x1**8*x2**8 + 0.07548*x1**8 - 0.02479*x1*x2**8 - 0.006115*x2**8 - 6.709e-5),7,7,True
12,x1_dot = (-0.3525*x1**9*x2**8 - 0.002921*x1**9 + 0.08095*x1**8*x2**8 + 0.0027*x1**8 + 0.002694*x1*x2**8 - 0.001637*x2**8)/(-1.176*x1**9*x2**8 - 0.0004376*x1**9 + 1.0*x1**8*x2**8 + 0.000964*x1**8 - 0.009292*x1*x2**8 + 0.004064*x2**8 + 3.502e-6),6,7,True
13,x1_dot = (-0.00239*x1**9 - 0.09446*x1**8*x2**8 + 0.002057*x1**8 + 0.002166*x1*x2**8 - 0.001195*x2**8)/(-1.306*x1**9*x2**8 + 1.0*x1**8*x2**8 + 0.0004287*x1**8 - 0.006703*x1*x2**8 + 0.002776*x2**8 + 2.625e-6),5,6,True
